Batch,LossProbability,ServerUtilization,AvgQueued,AvgDelayQueued
1,0.370134,0.38875,0,-1.#
2,0.383535,0.381,0,-1.#
3,0.385352,0.3835,0,-1.#
4,0.370351,0.37225,0,-1.#
5,0.378373,0.3785,0,-1.#
6,0.365293,0.36925,0,-1.#
7,0.381615,0.37775,0,-1.#
8,0.377276,0.36975,0,-1.#
9,0.392651,0.3875,0,-1.#
10,0.370682,0.37075,0,-1.#
11,0.364563,0.36375,0,-1.#
12,0.379335,0.37825,0,-1.#
13,0.364157,0.36275,0,-1.#
14,0.370572,0.37975,0,-1.#
15,0.380315,0.36925,0,-1.#
16,0.385452,0.376,0,-1.#
17,0.372284,0.36425,0,-1.#
18,0.375904,0.371,0,-1.#
19,0.366596,0.36375,0,-1.#
20,0.37998,0.365,0,-1.#
21,0.363075,0.37375,0,-1.#
22,0.386286,0.377,0,-1.#
23,0.374833,0.36775,0,-1.#
24,0.384441,0.37875,0,-1.#
25,0.37467,0.3715,0,-1.#
26,0.380593,0.387,0,-1.#
27,0.367582,0.37225,0,-1.#
28,0.371933,0.3645,0,-1.#
29,0.376345,0.37925,0,-1.#
30,0.369155,0.3725,0,-1.#
31,0.372929,0.37875,0,-1.#
32,0.374644,0.37625,0,-1.#
33,0.377775,0.38075,0,-1.#
34,0.374537,0.38475,0,-1.#
35,0.372407,0.361,0,-1.#
36,0.368597,0.36725,0,-1.#
37,0.381349,0.371,0,-1.#
38,0.377982,0.36725,0,-1.#
39,0.373185,0.369,0,-1.#
40,0.382132,0.37775,0,-1.#
41,0.38123,0.37825,0,-1.#
42,0.375162,0.37125,0,-1.#
43,0.372893,0.3675,0,-1.#
44,0.377175,0.374,0,-1.#
45,0.375341,0.37775,0,-1.#
46,0.373158,0.36925,0,-1.#
47,0.368976,0.37825,0,-1.#
48,0.378138,0.387,0,-1.#
49,0.368166,0.371,0,-1.#
50,0.368118,0.3815,0,-1.#
51,0.374749,0.3825,0,-1.#
52,0.373437,0.374,0,-1.#
53,0.38284,0.375,0,-1.#
54,0.372617,0.366,0,-1.#
55,0.373833,0.37525,0,-1.#
56,0.372608,0.38575,0,-1.#
57,0.369789,0.38025,0,-1.#
58,0.38136,0.3745,0,-1.#
59,0.372716,0.36625,0,-1.#
60,0.381192,0.3785,0,-1.#
61,0.372608,0.36575,0,-1.#
62,0.380091,0.37925,0,-1.#
63,0.376296,0.3745,0,-1.#
64,0.383388,0.37575,0,-1.#
65,0.377113,0.381,0,-1.#
66,0.364614,0.36375,0,-1.#
67,0.380168,0.377,0,-1.#
68,0.374508,0.379,0,-1.#
69,0.382176,0.3805,0,-1.#
70,0.378164,0.37825,0,-1.#
71,0.379638,0.37625,0,-1.#
72,0.378067,0.38925,0,-1.#
73,0.381929,0.375,0,-1.#
74,0.370813,0.381,0,-1.#
75,0.373917,0.375,0,-1.#
76,0.37777,0.36625,0,-1.#
77,0.375045,0.377,0,-1.#
78,0.372718,0.37575,0,-1.#
79,0.382871,0.37175,0,-1.#
80,0.374784,0.372,0,-1.#
81,0.380062,0.379,0,-1.#
82,0.374508,0.37675,0,-1.#
83,0.369488,0.37075,0,-1.#
84,0.367441,0.3725,0,-1.#
85,0.361358,0.381,0,-1.#
86,0.387434,0.385,0,-1.#
87,0.370101,0.37875,0,-1.#
88,0.378184,0.37525,0,-1.#
89,0.373879,0.36525,0,-1.#
90,0.377221,0.38825,0,-1.#
91,0.369727,0.381,0,-1.#
92,0.378381,0.383,0,-1.#
93,0.370175,0.37625,0,-1.#
94,0.388093,0.374,0,-1.#
95,0.372167,0.38425,0,-1.#
96,0.37775,0.37375,0,-1.#
97,0.366871,0.377,0,-1.#
98,0.370731,0.378,0,-1.#
99,0.361157,0.3735,0,-1.#
100,0.375314,0.37225,0,-1.#

Summary
ServerUtilization,0.375191
LossRatio,0.37524
AverageQueued,0
AverageDelayQueued,-1.#
